time (s),acc (m/s2)
5.59,0.00392
5.595,0.00392
5.6,0.00294
5.605,0.00294
5.61,0.00294
5.615,0.00196
5.62,0.00196
5.625,0.00196
5.63,0.00196
5.635,0.00098
5.64,0.00098
5.645,0.00098
5.65,0
5.655,0
5.66,0
5.665,0.00098
5.67,0.00098
5.675,0.00098
5.68,0.00196
5.685,0.00196
5.69,0.00196
5.695,0.00196
5.7,0.00294
5.705,0.00294
5.71,0.00294
5.715,0.00392
5.72,0.00392
5.725,0.00392
5.73,0.0049
5.735,0.0049
5.74,0.0049
5.745,0.0049
5.75,0.0049
5.755,0.0049
5.76,0.0049
5.765,0.0049
5.77,0.0049
5.775,0.0049
5.78,0.0049
5.785,0.0049
5.79,0.0049
5.795,0.0049
5.8,0.0049
5.805,0.0049
5.81,0.0049
5.815,0.0049
5.82,0.0049
5.825,0.0049
5.83,0.0049
5.835,0.0049
5.84,0.0049
5.845,0.0049
5.85,0.0049
5.855,0.0049
5.86,0.0049
5.865,0.0049
5.87,0.0049
5.875,0.0049
5.88,0.0049
5.885,0.0049
5.89,0.0049
5.895,0.0049
5.9,0.0049
5.905,0.0049
5.91,0.0049
5.915,0.0049
5.92,0.0049
5.925,0.0049
5.93,0.0049
5.935,0.0049
5.94,0.0049
5.945,0.0049
5.95,0.0049
5.955,0.0049
5.96,0.0049
5.965,0.0049
5.97,0.0049
5.975,0.0049
5.98,0.0049
5.985,0.0049
5.99,0.0049
5.995,0.0049
6,0.0049
6.005,0.0049
6.01,0.0049
6.015,0.0049
6.02,0.0049
6.025,0.0049
6.03,0.0049
6.035,0.0049
6.04,0.0049
6.045,0.0049
6.05,0.0049
6.055,0.0049
6.06,0.0049
6.065,0.0049
6.07,0.0049
6.075,0.0049
6.08,0.0049
6.085,0.0049
6.09,0.0049
6.095,0.0049
6.1,0.0049
6.105,0.0049
6.11,0.0049
6.115,0.0049
6.12,0.0049
6.125,0.0049
6.13,0.0049
6.135,0.0049
6.14,0.0049
6.145,0.0049
6.15,0.0049
6.155,0.0049
6.16,0.0049
6.165,0.0049
6.17,0.0049
6.175,0.0049
